subj_idx,category,stim,response,accuracy,rt,age
11018,2,0,2,1,0.827,0
11018,2,1,1,1,0.783,0
11018,2,0,2,1,1.528,0
11018,2,0,2,1,1.666,0
11018,2,1,1,1,0.632,0
11018,2,1,1,1,0.953,0
11018,2,0,2,1,1.39,0
11018,2,0,2,1,0.863,0
11018,2,1,1,1,1.012,0
11018,2,0,2,1,0.695,0
11018,2,0,2,1,1.43,0
11019,2,0,2,1,0.642,0
11019,2,0,2,1,0.559,0
11019,2,0,2,1,1.434,0
11019,2,0,2,1,1.062,0
11019,2,0,2,1,1.368,0
11019,2,1,1,1,0.708,0
11019,2,0,2,1,0.95,0
11019,2,1,1,1,0.589,0
11019,2,1,1,1,0.768,0
11019,2,1,1,1,1.062,0
11019,2,0,2,1,0.767,0
11019,2,1,1,1,0.82,0
11019,2,0,2,1,1.2,0
11019,2,1,1,1,0.702,0
11019,2,1,1,1,0.976,0
11019,2,1,1,1,1.124,0
11019,2,0,2,1,0.981,0
11019,2,1,1,1,0.841,0
11019,2,0,2,1,1.582,0
11019,2,0,2,1,0.772,0
11019,2,0,2,1,1.016,0
11019,2,0,2,1,0.725,0
11019,2,0,2,1,1.028,0
11019,2,1,1,1,1.084,0
11019,2,1,1,1,0.92,0
11019,2,0,2,1,0.622,0
11019,2,1,1,1,1.861,0
11019,2,1,1,1,1.817,0
11019,2,1,1,1,0.701,0
11019,3,0,2,1,0.645,0
11019,3,0,2,1,0.591,0
11019,3,0,2,1,0.759,0
11019,3,0,1,0,1.295,0
11019,3,1,1,1,0.672,0
11019,3,0,2,1,0.83,0
11019,3,0,2,1,0.816,0
11019,3,1,1,1,0.692,0
11019,3,0,2,1,0.604,0
11019,3,1,1,1,0.766,0
11019,3,1,1,1,0.589,0
11019,3,1,1,0,0.85,0
11019,3,1,2,0,2.063,0
11019,3,1,1,1,0.681,0
11019,3,1,1,1,0.587,0
11019,3,0,2,1,0.956,0
11019,3,1,1,1,0.695,0
11019,3,0,2,1,0.745,0
11019,3,0,1,0,0.559,0
11019,3,1,1,1,0.723,0
11019,3,0,2,1,0.656,0
11019,3,1,1,1,0.606,0
11019,3,1,1,1,1.689,0
11019,3,0,2,1,0.668,0
11019,3,0,2,1,0.683,0
11019,3,0,2,1,0.941,0
11019,3,1,1,1,0.972,0
11019,3,1,2,0,2.126,0
11019,3,1,1,1,0.798,0
11019,3,1,1,1,0.782,0
11019,1,0,2,1,1.099,0
11019,1,0,2,1,0.726,0
11019,1,1,1,1,0.666,0
11019,1,0,2,1,0.741,0
11019,1,1,1,1,0.83,0
11019,1,1,1,1,0.893,0
11019,1,1,1,1,1,0
11019,1,0,2,1,0.707,0
11019,1,0,2,1,0.63,0
11019,1,1,1,1,0.916,0
11019,1,0,2,1,0.877,0
11019,1,0,2,1,0.771,0
11019,1,0,2,1,0.686,0
11019,1,0,2,1,0.927,0
11019,1,1,1,1,1.027,0
11019,1,1,1,1,0.643,0
11019,1,1,1,1,0.858,0
11019,1,1,1,1,1.21,0
11019,1,1,1,1,0.666,0
11019,1,0,2,1,0.631,0
11019,1,1,1,1,0.637,0
11019,1,0,2,1,0.684,0
11019,1,1,1,1,0.727,0
11019,1,0,2,1,0.759,0
11019,1,1,1,1,0.933,0
11019,1,1,1,1,0.958,0
11019,1,0,2,1,0.748,0
11019,1,0,2,1,0.89,0
11019,1,1,1,1,0.779,0
11019,1,0,2,1,0.814,0
11021,3,1,1,1,0.962,0
11021,3,1,1,1,0.808,0
11021,3,1,1,1,1.3,0
11021,3,0,2,1,1.191,0
11021,3,0,1,0,1.522,0
11021,3,0,2,1,0.85,0
11021,3,0,2,1,0.862,0
11021,3,0,2,1,1.103,0
11021,3,0,2,1,0.794,0
11021,3,1,1,1,1.321,0
11021,3,1,1,1,0.871,0
11021,3,1,1,1,1.32,0
11021,3,1,1,1,0.83,0
11021,3,0,2,1,0.966,0
